ClientID,ClientName,ContainerSize,Waste,ActionType,Additional,opening,closing,Place
1,randomClient_0,10,general,3,0,0,600,Zelzate
2,randomClient_1,12,construction,1,0,0,600,Ieper
3,randomClient_2,18,general,3,0,0,600,Gent
4,randomClient_3,15,paper,3,20,0,600,Hasselt
5,randomClient_4,12,paper,2,0,0,600,Louvain-La-Neuve
6,randomClient_5,10,dangerous,5,15,0,600,Gent
7,randomClient_6,18,dangerous,3,0,0,600,Aarschot
8,randomClient_7,18,dangerous,3,0,0,600,Zaventem
9,randomClient_8,18,paper,1,0,0,600,Herentals
10,randomClient_9,20,construction,3,0,0,600,Leuven
11,randomClient_10,15,construction,4,0,0,600,Leuven
12,randomClient_11,15,dangerous,5,0,0,600,Zelzate
13,randomClient_12,18,dangerous,4,0,0,600,Mechelen
14,randomClient_13,5,dangerous,2,0,0,600,Hasselt
15,randomClient_14,10,general,5,20,0,600,Zaventem
16,randomClient_15,5,paper,5,0,0,600,Leuven
17,randomClient_16,15,general,3,0,0,600,Brugge
18,randomClient_17,5,general,3,0,0,600,Mol
19,randomClient_18,15,general,1,0,0,600,Kortrijk
20,randomClient_19,20,dangerous,1,15,0,600,Kortrijk
21,randomClient_20,12,construction,1,0,0,600,Louvain-La-Neuve
22,randomClient_21,12,dangerous,3,0,0,600,Gent
23,randomClient_22,15,construction,3,0,0,600,Aarschot
24,randomClient_23,20,dangerous,3,0,0,600,Hasselt
25,randomClient_24,5,dangerous,4,15,0,600,Gent
26,randomClient_25,15,dangerous,3,20,0,600,Hasselt
27,randomClient_26,18,construction,1,0,0,600,Mechelen
28,randomClient_27,20,construction,5,0,0,600,Hasselt
29,randomClient_28,15,paper,1,0,0,600,Duffel
30,randomClient_29,12,construction,5,0,0,600,Leuven
31,randomClient_30,12,dangerous,4,0,0,600,Leuven
32,randomClient_31,10,dangerous,5,15,0,600,Leuven
33,randomClient_32,15,general,5,20,0,600,Louvain-La-Neuve
34,randomClient_33,15,paper,4,0,0,600,Kortrijk
35,randomClient_34,18,general,1,0,0,600,Leuven
36,randomClient_35,15,paper,3,0,0,600,Liers
37,randomClient_36,10,general,2,20,0,600,Antwerpen
38,randomClient_37,12,dangerous,2,0,0,600,Tienen
39,randomClient_38,20,construction,5,15,0,600,Sint-Katelijne-Waver
40,randomClient_39,10,construction,3,0,0,600,Diest
41,randomClient_40,15,general,4,15,0,600,Ieper
42,randomClient_41,10,paper,2,15,0,600,Brussel
43,randomClient_42,20,construction,2,0,0,600,Leuven
44,randomClient_43,15,general,1,0,0,600,Geel
45,randomClient_44,10,dangerous,4,0,0,600,Hasselt
46,randomClient_45,12,dangerous,3,0,0,600,Brugge
47,randomClient_46,10,paper,5,15,0,600,Zaventem
48,randomClient_47,20,general,2,0,0,600,Zonhoven
49,randomClient_48,20,general,1,0,0,600,Mechelen
50,randomClient_49,5,general,4,0,0,600,Sint-Katelijne-Waver
51,randomClient_50,10,construction,1,0,0,600,Antwerpen
52,randomClient_51,18,paper,3,0,0,600,Zonhoven
53,randomClient_52,18,construction,3,0,0,600,Boutersem
54,randomClient_53,18,paper,4,0,0,600,Mol
55,randomClient_54,12,paper,3,0,0,600,Louvain-La-Neuve
56,randomClient_55,12,general,3,0,0,600,Glain
57,randomClient_56,15,construction,4,0,0,600,Geel
58,randomClient_57,5,paper,1,20,0,600,Zaventem
59,randomClient_58,20,paper,1,0,0,600,Brussel
60,randomClient_59,10,paper,1,15,0,600,Veurne
61,randomClient_60,15,dangerous,2,0,0,600,Brugge
62,randomClient_61,18,general,1,15,0,600,Antwerpen
63,randomClient_62,10,construction,5,0,0,600,Boom
64,randomClient_63,20,construction,2,20,0,600,Grimbergen
65,randomClient_64,18,dangerous,5,0,0,600,Boutersem
66,randomClient_65,18,dangerous,4,20,0,600,Diest
67,randomClient_66,18,dangerous,3,0,0,600,Mol
68,randomClient_67,5,paper,5,15,0,600,Zonhoven
69,randomClient_68,12,dangerous,4,15,0,600,Grimbergen
70,randomClient_69,10,paper,2,15,0,600,Geel
71,randomClient_70,5,paper,1,0,0,600,Brussel
72,randomClient_71,20,construction,1,0,0,600,Hasselt
73,randomClient_72,5,general,2,0,0,600,Leuven
74,randomClient_73,10,paper,1,0,0,600,Herentals
75,randomClient_74,12,dangerous,3,20,0,600,Boutersem
76,randomClient_75,10,dangerous,4,0,0,600,Louvain-La-Neuve
77,randomClient_76,12,general,4,20,0,600,Mechelen
78,randomClient_77,15,paper,2,0,0,600,Kortrijk
79,randomClient_78,10,construction,5,15,0,600,Hasselt
80,randomClient_79,20,paper,2,15,0,600,Gent
81,randomClient_80,20,dangerous,4,0,0,600,Zonhoven
82,randomClient_81,5,dangerous,2,0,0,600,Louvain-La-Neuve
83,randomClient_82,15,paper,2,0,0,600,Herentals
84,randomClient_83,20,construction,3,0,0,600,Diest
85,randomClient_84,20,construction,4,0,0,600,Herentals
86,randomClient_85,10,general,5,0,0,600,Zelzate
87,randomClient_86,18,construction,5,0,0,600,Zelzate
88,randomClient_87,20,general,3,0,0,600,Grimbergen
89,randomClient_88,12,construction,5,20,0,600,Antwerpen
90,randomClient_89,12,dangerous,3,0,0,600,Diest
91,randomClient_90,18,dangerous,2,0,0,600,Antwerpen
92,randomClient_91,10,general,4,0,0,600,Tienen
93,randomClient_92,5,paper,2,0,0,600,Grimbergen
94,randomClient_93,20,construction,5,0,0,600,Antwerpen
95,randomClient_94,20,construction,1,15,0,600,Leuven
96,randomClient_95,10,general,4,0,0,600,Aarschot
97,randomClient_96,10,construction,2,0,0,600,Brussel
98,randomClient_97,18,dangerous,4,0,0,600,Brussel
99,randomClient_98,5,dangerous,1,0,0,600,Veurne
100,randomClient_99,5,general,4,0,0,600,Veurne
