ClientID,ClientName,ContainerSize,Waste,ActionType,Additional,opening,closing,Place
1,randomClient_0,20,construction,4,0,0,600,Antwerpen
2,randomClient_1,12,dangerous,4,20,0,600,Antwerpen
3,randomClient_2,10,construction,3,0,0,600,Louvain-La-Neuve
4,randomClient_3,18,paper,4,0,0,600,Brussel
5,randomClient_4,20,dangerous,4,0,0,600,Leuven
6,randomClient_5,20,dangerous,1,0,0,600,Leuven
7,randomClient_6,12,general,4,15,0,600,Leuven
8,randomClient_7,18,general,2,20,0,600,Antwerpen
9,randomClient_8,5,paper,2,0,0,600,Leuven
10,randomClient_9,20,general,4,20,0,600,Brussel
11,randomClient_10,15,general,1,0,0,600,Geel
12,randomClient_11,18,paper,3,20,0,600,Liers
13,randomClient_12,18,construction,3,0,0,600,Mechelen
14,randomClient_13,20,general,2,0,0,600,Liers
15,randomClient_14,20,paper,5,0,0,600,Grimbergen
16,randomClient_15,10,construction,5,0,0,600,Ieper
17,randomClient_16,18,dangerous,1,15,0,600,Diest
18,randomClient_17,20,general,2,0,0,600,Leuven
19,randomClient_18,12,general,1,0,0,600,Mechelen
20,randomClient_19,15,construction,4,0,0,600,Brussel
21,randomClient_20,5,construction,3,15,0,600,Sint-Katelijne-Waver
22,randomClient_21,15,construction,2,0,0,600,Kortrijk
23,randomClient_22,10,general,3,0,0,600,Veurne
24,randomClient_23,5,paper,3,20,0,600,Boom
25,randomClient_24,20,construction,3,0,0,600,Leuven
26,randomClient_25,15,construction,4,0,0,600,Antwerpen
27,randomClient_26,5,construction,3,15,0,600,Hasselt
28,randomClient_27,5,construction,1,0,0,600,Sint-Katelijne-Waver
29,randomClient_28,10,paper,2,0,0,600,Mechelen
30,randomClient_29,12,dangerous,1,0,0,600,Mechelen
31,randomClient_30,18,dangerous,3,15,0,600,Leuven
32,randomClient_31,12,dangerous,3,0,0,600,Brussel
33,randomClient_32,10,paper,2,20,0,600,Herentals
34,randomClient_33,10,paper,2,20,0,600,Mechelen
35,randomClient_34,15,paper,1,0,0,600,Zelzate
36,randomClient_35,18,paper,1,0,0,600,Duffel
37,randomClient_36,5,paper,4,0,0,600,Kortrijk
38,randomClient_37,10,paper,3,0,0,600,Brussel
39,randomClient_38,10,paper,3,0,0,600,Glain
40,randomClient_39,15,construction,3,15,0,600,Leuven
41,randomClient_40,10,paper,1,0,0,600,Mol
42,randomClient_41,10,general,2,0,0,600,Brussel
43,randomClient_42,12,construction,3,0,0,600,Hasselt
44,randomClient_43,20,dangerous,4,0,0,600,Grimbergen
45,randomClient_44,18,general,4,15,0,600,Ieper
46,randomClient_45,12,paper,1,0,0,600,Gent
47,randomClient_46,18,paper,2,0,0,600,Brussel
48,randomClient_47,18,dangerous,5,20,0,600,Boutersem
49,randomClient_48,10,dangerous,5,0,0,600,Brussel
50,randomClient_49,5,paper,4,0,0,600,Zonhoven
