ClientID,ClientName,ContainerSize,Waste,ActionType,Additional,opening,closing,Place
1,randomClient_0,20,dangerous,4,15,0,600,Zonhoven
2,randomClient_1,5,dangerous,3,20,0,600,Mol
3,randomClient_2,5,construction,5,0,0,600,Leuven
4,randomClient_3,15,general,4,0,0,600,Herentals
5,randomClient_4,5,construction,5,0,0,600,Grimbergen
6,randomClient_5,12,dangerous,5,0,0,600,Liers
7,randomClient_6,10,paper,1,0,0,600,Grimbergen
8,randomClient_7,15,dangerous,3,0,0,600,Brugge
9,randomClient_8,18,paper,4,20,0,600,Kortrijk
10,randomClient_9,15,construction,4,15,0,600,Mechelen
11,randomClient_10,5,construction,1,0,0,600,Ieper
12,randomClient_11,10,paper,2,20,0,600,Herentals
13,randomClient_12,18,construction,2,15,0,600,Herentals
14,randomClient_13,18,construction,4,0,0,600,Ieper
15,randomClient_14,18,general,3,0,0,600,Hasselt
16,randomClient_15,5,dangerous,3,0,0,600,Herentals
17,randomClient_16,5,dangerous,5,15,0,600,Brussel
18,randomClient_17,12,construction,5,0,0,600,Geel
19,randomClient_18,5,paper,1,0,0,600,Sint-Katelijne-Waver
20,randomClient_19,18,paper,5,20,0,600,Duffel
21,randomClient_20,5,construction,4,0,0,600,Boutersem
22,randomClient_21,20,general,2,0,0,600,Aarschot
23,randomClient_22,5,general,1,0,0,600,Boutersem
24,randomClient_23,10,construction,4,15,0,600,Boutersem
25,randomClient_24,20,construction,1,0,0,600,Grimbergen
26,randomClient_25,15,general,5,15,0,600,Louvain-La-Neuve
27,randomClient_26,20,dangerous,2,15,0,600,Liers
28,randomClient_27,10,paper,2,0,0,600,Liers
29,randomClient_28,5,dangerous,5,20,0,600,Boom
30,randomClient_29,12,general,3,15,0,600,Boom
31,randomClient_30,15,general,1,15,0,600,Zelzate
32,randomClient_31,10,dangerous,5,0,0,600,Gent
33,randomClient_32,18,construction,2,0,0,600,Leuven
34,randomClient_33,20,construction,3,0,0,600,Glain
